Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2013;5.581
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2012;5.619
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2011;5.626
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2010;5.575
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2009;5.553
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2008;5.638
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2007;5.623
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2006;5.563
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2005;5.523
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2004;5.599
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2003;5.575
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2002;5.527
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2001;5.497
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2000;5.502
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;1999;5.506
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;1998;5.502
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;1997;5.505
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;1996;5.501
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;1995;5.491
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;1994;5.477
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2019;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2018;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2017;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2016;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2015;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2014;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2013;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2012;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2011;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2010;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2009;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2008;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2007;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2006;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2005;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2004;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2003;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2002;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2001;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;2000;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;1999;0
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;1998;1
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;1997;5
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;1996;5
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;1995;5
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Sin taxímetro;1994;15
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2019;575
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2018;572
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2017;579
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2016;576
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2015;580
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2014;587
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2013;585
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2012;584
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2011;581
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2010;579
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2009;574
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2008;550
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2007;563
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2006;509
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2005;561
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2004;564
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2003;572
