Comunidades y Ciudades Autónomas;Periodo;Total
12 Galicia;1990;10,2
12 Galicia;1989;9,73
12 Galicia;1988;9,52
12 Galicia;1987;9,16
12 Galicia;1986;9,63
12 Galicia;1985;9,39
12 Galicia;1984;8,99
12 Galicia;1983;9,14
12 Galicia;1982;8,9
12 Galicia;1981;9,03
12 Galicia;1980;8,8
12 Galicia;1979;9,16
12 Galicia;1978;9,28
12 Galicia;1977;9,46
12 Galicia;1976;9,47
12 Galicia;1975;9,45
13 Madrid, Comunidad de;2021;7,4
13 Madrid, Comunidad de;2020;9,86
13 Madrid, Comunidad de;2019;7,05
13 Madrid, Comunidad de;2018;7,07
13 Madrid, Comunidad de;2017;7,24
13 Madrid, Comunidad de;2016;6,99
13 Madrid, Comunidad de;2015;7,32
13 Madrid, Comunidad de;2014;6,75
13 Madrid, Comunidad de;2013;6,63
13 Madrid, Comunidad de;2012;6,66
13 Madrid, Comunidad de;2011;6,49
13 Madrid, Comunidad de;2010;6,4
13 Madrid, Comunidad de;2009;6,49
13 Madrid, Comunidad de;2008;6,57
13 Madrid, Comunidad de;2007;6,73
13 Madrid, Comunidad de;2006;6,64
13 Madrid, Comunidad de;2005;6,91
13 Madrid, Comunidad de;2004;6,94
13 Madrid, Comunidad de;2003;7,26
13 Madrid, Comunidad de;2002;7,06
13 Madrid, Comunidad de;2001;7,13
13 Madrid, Comunidad de;2000;7,07
13 Madrid, Comunidad de;1999;7,18
13 Madrid, Comunidad de;1998;7,17
13 Madrid, Comunidad de;1997;6,84
13 Madrid, Comunidad de;1996;7,11
13 Madrid, Comunidad de;1995;7,09
13 Madrid, Comunidad de;1994;6,97
13 Madrid, Comunidad de;1993;7,04
13 Madrid, Comunidad de;1992;6,97
13 Madrid, Comunidad de;1991;7,22
13 Madrid, Comunidad de;1990;7,06
13 Madrid, Comunidad de;1989;6,72
13 Madrid, Comunidad de;1988;6,66
13 Madrid, Comunidad de;1987;6,42
13 Madrid, Comunidad de;1986;6,17
13 Madrid, Comunidad de;1985;6,53
